feature,coefficient
PriorCampaign,1.84
"MntSpent (1800, 2400]",0.79
CustYrsMoreThan7,0.74
PostGraduate,0.54
"Recency (0, 25]",0.44
Single,0.43
NewlySingle,0.38
"Income (25000, 50000]",0.27
"Income (1, 25000]",0.2
"MntSpent (1200, 1800]",0.19
"Income (75000, 100000]",0.06
Graduate,-0.0
"MntSpent (2400, 3000]",-0.02
NumPurchasesMoreThan25,-0.1
"Income (100000, 670000]",-0.13
Age,-0.18
Children,-0.33
"MntSpent (600, 1200]",-0.34
"Income (50000, 75000]",-0.4
UnderGraduate,-0.54
WebVisitsMoreThan10,-0.58
"Recency (25, 50]",-0.6
"MntSpent (0, 600]",-0.61
Relationship,-0.81
"Recency (50, 75]",-0.82
"Recency (75, 100]",-1.25
